company_key,stability_score,region,rating,still_active,duration_days
raja meat store,12.9,rest_england,A,True,935
chicka limited t a chicka,12.9,rest_england,A,True,747
jaleshvar,12.9,rest_england,A,False,354
neurogears,0.0,london,A,True,1041
edinburgh festival ballet school,27.8,scotland,A,True,1041
i grunwerg,12.9,rest_england,A,True,935
mox london,0.0,london,A,True,1041
mouna s kitchen,0.0,london,A,True,393
mirons newsagents,12.9,rest_england,A,True,846
cams trading,12.9,rest_england,A,True,935
afr capital,12.9,rest_england,A,False,648
cardiff cruises,12.9,rest_england,A,True,1041
business insights private,12.9,rest_england,A,True,1041
beach hut cafe,12.9,rest_england,A,True,1041
holmen iggesund paperboard,12.9,rest_england,A,False,574
sp food mart,12.9,rest_england,A,True,393
hibiki,27.8,scotland,A,True,935
eco sports,0.0,london,A,True,935
sebbin uk,12.9,rest_england,A,False,648
oplog uk,0.0,london,A,True,747
seven sisters,12.9,rest_england,A,True,1041
omniac pharmconsult,12.9,rest_england,A,True,566
firstcare practice,12.9,rest_england,A,True,1041
awan brothers ltd t a stepping stones self service,12.9,rest_england,A,True,1041
streat motor services limited t a streat motors,12.9,rest_england,A,True,1041
newgen talent,0.0,london,A,True,393
affirmative investment management partners,0.0,london,A,False,106
hsa buildings,12.9,rest_england,A,True,935
global healthcare solutions,12.9,rest_england,A,True,935
care centre,12.9,rest_england,A,True,393
penn surgery,12.9,rest_england,A,True,1041
surecare hillingdon,0.0,london,A,True,1041
the portland hospital,0.0,london,A,True,1041
muduk restaurant,12.9,rest_england,A,True,935
stoneyford sc,12.9,rest_england,A,True,1041
joj powell partners,10.4,wales,A,True,1041
siemens holdings plc including siemens,12.9,rest_england,A,True,1041
the queen s foundation for ecumenical theological education,12.9,rest_england,A,True,1041
jjh3 ltd t a sweet aldridge,12.9,rest_england,A,True,747
smile link dental,12.9,rest_england,A,True,393
layanson pharma,12.9,rest_england,A,True,747
chandlers forecourt limited t a bp,12.9,rest_england,A,False,648
loud mouth media,14.0,ni,A,True,1
dkk exchange store,10.4,wales,A,True,1041
kalash limited t a everest tandoori,12.9,rest_england,A,True,1041
memon services limited t a naan staap tooting,0.0,london,A,True,846
labaton keller sucharow uk,0.0,london,A,True,1
frenix,12.9,rest_england,A,True,393
team locum,12.9,rest_england,A,True,1041
unbridled scotland,27.8,scotland,A,True,935
tetra technologies uk,27.8,scotland,A,True,1
jawaby property investment,0.0,london,A,False,574
torriad farms,10.4,wales,A,True,467
pendennis care home,12.9,rest_england,A,True,1041
i fix all,0.0,london,A,False,1
cloudnine it services,12.9,rest_england,A,True,1041
skypurple cloud,12.9,rest_england,A,True,1041
newton dee camphill community,27.8,scotland,A,True,1041
jai arhi,12.9,rest_england,A,True,747
design innovation,12.9,rest_england,A,True,1041
silver cloud hr,12.9,rest_england,A,True,1041
polymer logistics scotland,12.9,rest_england,A,True,566
edinburgh designs,27.8,scotland,A,True,1041
dawat tooting,0.0,london,A,True,747
bank leumi uk,0.0,london,A,False,1
