source,source_job_id,title,desc_len,description_full,check,skill,correct
adzuna,5794322601,Data analyst,513,False,recall,AWS,Y
reed,57130483,Data Analyst,3175,True,precision,Power BI,Y
reed,57130483,Data Analyst,3175,True,precision,Python,Y
reed,57130483,Data Analyst,3175,True,precision,SQL,Y
reed,57130483,Data Analyst,3175,True,precision,Snowflake,Y
reed,57130483,Data Analyst,3175,True,precision,Tableau,Y
reed,57130483,Data Analyst,3175,True,precision,dbt,Y
reed,57130483,Data Analyst,3175,True,recall,Power BI,Y
reed,57130483,Data Analyst,3175,True,recall,SQL,Y
reed,57130483,Data Analyst,3175,True,recall,Python,Y
reed,57130483,Data Analyst,3175,True,recall,Tableau,Y
reed,57130483,Data Analyst,3175,True,recall,Snowflake,Y
reed,57088034,Data Analyst,1032,True,precision,Excel,Y
reed,57088034,Data Analyst,1032,True,precision,Power BI,Y
reed,57088034,Data Analyst,1032,True,recall,Power BI,Y
reed,57088034,Data Analyst,1032,True,recall,Excel,Y
reed,57154863,Housing Regulatory Analyst,3507,True,precision,Power BI,Y
reed,57154863,Housing Regulatory Analyst,3507,True,precision,SAP,Y
reed,57154863,Housing Regulatory Analyst,3507,True,precision,Snowflake,Y
reed,57154863,Housing Regulatory Analyst,3507,True,recall,Power BI,Y
reed,57154863,Housing Regulatory Analyst,3507,True,recall,Snowflake,Y
reed,57100464,Data Analyst Trainee,5929,True,precision,Excel,Y
reed,57100464,Data Analyst Trainee,5929,True,precision,Project Management,Y
reed,57100464,Data Analyst Trainee,5929,True,precision,Python,Y
reed,57100464,Data Analyst Trainee,5929,True,precision,SQL,Y
reed,57100464,Data Analyst Trainee,5929,True,precision,Tableau,Y
reed,57100464,Data Analyst Trainee,5929,True,recall,SQL,Y
reed,57100464,Data Analyst Trainee,5929,True,recall,Python,Y
reed,57100464,Data Analyst Trainee,5929,True,recall,Excel,Y
reed,57100464,Data Analyst Trainee,5929,True,recall,Tableau,Y
reed,57169866,Data Analyst,2815,True,precision,Communication,Y
reed,57169866,Data Analyst,2815,True,precision,Looker,Y
reed,57169866,Data Analyst,2815,True,precision,Power BI,Y
reed,57169866,Data Analyst,2815,True,precision,SQL,Y
reed,57169866,Data Analyst,2815,True,precision,Tableau,Y
reed,57169866,Data Analyst,2815,True,recall,Power BI,Y
reed,57169866,Data Analyst,2815,True,recall,SQL,Y
reed,57169866,Data Analyst,2815,True,recall,Tableau,Y
reed,57169866,Data Analyst,2815,True,recall,Looker,Y
reed,57143266,Data Analyst Trainee,5929,True,precision,Excel,Y
reed,57143266,Data Analyst Trainee,5929,True,precision,Project Management,Y
reed,57143266,Data Analyst Trainee,5929,True,precision,Python,Y
reed,57143266,Data Analyst Trainee,5929,True,precision,SQL,Y
reed,57143266,Data Analyst Trainee,5929,True,precision,Tableau,Y
reed,57143266,Data Analyst Trainee,5929,True,recall,SQL,Y
reed,57143266,Data Analyst Trainee,5929,True,recall,Python,Y
reed,57143266,Data Analyst Trainee,5929,True,recall,Excel,Y
reed,57143266,Data Analyst Trainee,5929,True,recall,Tableau,Y
adzuna,5817554133,Data Analyst,513,False,precision,Salesforce,Y
reed,57165187,Data Analyst,2724,True,precision,Communication,Y
reed,57165187,Data Analyst,2724,True,precision,Data Visualisation,Y
reed,57165187,Data Analyst,2724,True,precision,Power BI,Y
reed,57165187,Data Analyst,2724,True,precision,Python,Y
reed,57165187,Data Analyst,2724,True,precision,SQL,Y
reed,57165187,Data Analyst,2724,True,precision,Stakeholder Management,Y
reed,57165187,Data Analyst,2724,True,precision,Tableau,Y
reed,57165187,Data Analyst,2724,True,recall,Power BI,Y
reed,57165187,Data Analyst,2724,True,recall,SQL,Y
reed,57165187,Data Analyst,2724,True,recall,Python,Y
reed,57165187,Data Analyst,2724,True,recall,Tableau,Y
reed,57161517,Trainee Data Analyst,5929,True,precision,Excel,Y
reed,57161517,Trainee Data Analyst,5929,True,precision,Project Management,Y
reed,57161517,Trainee Data Analyst,5929,True,precision,Python,Y
reed,57161517,Trainee Data Analyst,5929,True,precision,SQL,Y
reed,57161517,Trainee Data Analyst,5929,True,precision,Tableau,Y
reed,57161517,Trainee Data Analyst,5929,True,recall,SQL,Y
reed,57161517,Trainee Data Analyst,5929,True,recall,Python,Y
reed,57161517,Trainee Data Analyst,5929,True,recall,Excel,Y
reed,57161517,Trainee Data Analyst,5929,True,recall,Tableau,Y
adzuna,5804800128,Financial Data Analyst,523,False,precision,Power BI,Y
adzuna,5804800128,Financial Data Analyst,523,False,recall,Power BI,Y
reed,57147509,Data Analyst Trainee,5031,True,precision,Excel,Y
reed,57147509,Data Analyst Trainee,5031,True,precision,Project Management,Y
reed,57147509,Data Analyst Trainee,5031,True,precision,Python,Y
reed,57147509,Data Analyst Trainee,5031,True,precision,SQL,Y
reed,57147509,Data Analyst Trainee,5031,True,precision,Tableau,Y
reed,57147509,Data Analyst Trainee,5031,True,recall,SQL,Y
reed,57147509,Data Analyst Trainee,5031,True,recall,Python,Y
reed,57147509,Data Analyst Trainee,5031,True,recall,Excel,Y
reed,57147509,Data Analyst Trainee,5031,True,recall,Tableau,Y
reed,56870728,Data Analyst,1342,True,precision,DAX,Y
reed,56870728,Data Analyst,1342,True,precision,Power BI,Y
reed,56870728,Data Analyst,1342,True,precision,Power Query,Y
reed,56870728,Data Analyst,1342,True,precision,SQL,Y
reed,56870728,Data Analyst,1342,True,recall,Power BI,Y
reed,56870728,Data Analyst,1342,True,recall,SQL,Y
reed,57169827,Business Analyst,5080,True,precision,Agile,Y
reed,57169827,Business Analyst,5080,True,precision,Communication,Y
reed,57169827,Business Analyst,5080,True,precision,Figma,Y
reed,57169827,Business Analyst,5080,True,precision,Stakeholder Management,Y
reed,57147804,Data Analyst Trainee,5929,True,precision,Excel,Y
reed,57147804,Data Analyst Trainee,5929,True,precision,Project Management,Y
reed,57147804,Data Analyst Trainee,5929,True,precision,Python,Y
reed,57147804,Data Analyst Trainee,5929,True,precision,SQL,Y
reed,57147804,Data Analyst Trainee,5929,True,precision,Tableau,Y
reed,57147804,Data Analyst Trainee,5929,True,recall,SQL,Y
reed,57147804,Data Analyst Trainee,5929,True,recall,Python,Y
reed,57147804,Data Analyst Trainee,5929,True,recall,Excel,Y
reed,57147804,Data Analyst Trainee,5929,True,recall,Tableau,Y
adzuna,5790993095,Data Analyst,513,False,precision,Statistics,Y
adzuna,5813720277,Data Analyst,513,False,precision,Communication,Y
adzuna,5813720277,Data Analyst,513,False,precision,Data Modelling,Y
adzuna,5813720277,Data Analyst,513,False,precision,Power BI,Y
adzuna,5813720277,Data Analyst,513,False,precision,Stakeholder Management,Y
adzuna,5813720277,Data Analyst,513,False,recall,Power BI,Y
reed,57149519,Data Analyst / SQL Developer,3758,True,precision,Communication,Y
reed,57149519,Data Analyst / SQL Developer,3758,True,precision,ETL,Y
reed,57149519,Data Analyst / SQL Developer,3758,True,precision,Power BI,Y
reed,57149519,Data Analyst / SQL Developer,3758,True,precision,SQL,Y
reed,57149519,Data Analyst / SQL Developer,3758,True,recall,Power BI,Y
reed,57149519,Data Analyst / SQL Developer,3758,True,recall,SQL,Y
reed,57149519,Data Analyst / SQL Developer,3758,True,recall,ETL,Y
reed,57153107,KYC & Data Remediation Analyst,1776,True,precision,Excel,Y
reed,57153107,KYC & Data Remediation Analyst,1776,True,precision,Microsoft Office,Y
reed,57153107,KYC & Data Remediation Analyst,1776,True,precision,PowerPoint,Y
reed,57153107,KYC & Data Remediation Analyst,1776,True,recall,Excel,Y
reed,57147641,Data Analyst Trainee,5929,True,precision,Excel,Y
reed,57147641,Data Analyst Trainee,5929,True,precision,Project Management,Y
reed,57147641,Data Analyst Trainee,5929,True,precision,Python,Y
reed,57147641,Data Analyst Trainee,5929,True,precision,SQL,Y
reed,57147641,Data Analyst Trainee,5929,True,precision,Tableau,Y
reed,57147641,Data Analyst Trainee,5929,True,recall,SQL,Y
reed,57147641,Data Analyst Trainee,5929,True,recall,Python,Y
reed,57147641,Data Analyst Trainee,5929,True,recall,Excel,Y
